0. gate number: 
#AND: 208, #OR: 0, #INV: 186
# PI: 32
# PO: 17
Input list:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
Output list:
883 884 885 886 887 888 889 890 891 892 893 894 895 896 897 898 899 

Circuit size = 772
Circuit size = 1234
brInputList:
883 884 885 886 887 888 889 890 891 892 893 894 895 896 897 898 899 900 901 902 903 904 905 906 907 908 909 910 911 912 913 914 915 916 917 918 919 920 921 922 923 924 925 926 927 928 929 930 931 
runtime_m = 0.015
PO_line = 2399
Circuit size = 2021
Circuit size = 324
*********************************************
Val	ci	n	nT	gT	FI		FO
0	1	0	1	9			
0	1	1	1	9			
0	1	2	1	9			
0	1	3	1	9			
0	1	4	1	9			
0	1	5	1	9			
0	1	6	1	9			
0	1	7	1	9			
0	1	8	1	9			
4	1	9	1	0			96 109 
4	1	10	1	0			126 146 
4	1	11	1	0			166 189 
4	1	12	1	0			213 238 
4	1	13	1	0			263 288 
4	1	14	1	0			313 341 
4	1	15	1	0			369 397 
1	1	16	1	10			
1	1	17	1	10			
1	1	18	1	10			
1	1	19	1	10			
1	1	20	1	10			
1	1	21	1	10			
1	1	22	1	10			
1	1	23	1	10			
4	1	24	1	10			
4	1	25	1	0			459 460 
4	1	26	1	0			461 462 
4	1	27	1	0			463 464 
4	1	28	1	0			465 466 
4	1	29	1	0			467 468 
4	1	30	1	0			469 470 
4	1	31	1	0			471 472 
4	1	58	0	5	96 		255 
4	1	59	0	5	126 		280 
4	1	60	0	5	166 		305 
4	1	61	0	5	213 		333 
4	1	62	0	5	263 		361 
4	1	63	0	5	313 		389 
4	1	64	0	5	369 		416 
4	1	74	0	5	459 		255 
4	1	75	0	5	461 		280 
4	1	76	0	5	463 		305 
4	1	77	0	5	465 		333 
4	1	78	0	5	467 		361 
4	1	79	0	5	469 		389 
4	1	80	0	5	471 		416 
4	1	96	2	1	9 		58 
4	1	109	2	1	9 		253 
4	1	126	2	1	10 		59 
4	1	146	2	1	10 		278 
4	1	166	2	1	11 		60 
4	1	189	2	1	11 		303 
4	1	213	2	1	12 		61 
4	1	238	2	1	12 		331 
4	1	253	0	7	109 460 		254 
4	1	254	0	5	253 		616 617 618 
4	1	255	0	7	58 74 		256 
4	1	256	0	5	255 		619 620 
4	1	257	0	7	616 619 		258 
4	1	258	0	5	257 		262 
4	1	262	0	5	258 		892 
4	1	263	2	1	13 		62 
4	1	268	0	5	617 		269 
4	1	269	0	7	268 620 		628 629 
4	1	270	0	5	628 		630 631 
4	1	272	0	5	630 		375 
4	1	277	0	5	634 		284 
4	1	278	0	7	146 462 		279 
4	1	279	0	5	278 		636 637 638 
4	1	280	0	7	59 75 		281 
4	1	281	0	5	280 		639 640 
4	1	282	0	7	636 639 		641 642 644 
4	1	283	0	5	641 		286 
4	1	284	0	7	277 642 		285 
4	1	285	0	5	284 		2458 
4	1	286	0	7	283 635 		287 
4	1	287	0	5	286 		2458 
4	1	288	2	1	13 		359 
4	1	292	0	7	618 637 		293 
4	1	293	0	5	292 		294 
4	1	294	0	7	293 640 		648 649 
4	1	295	0	5	648 		650 651 
4	1	297	0	5	650 		403 
4	1	302	0	5	654 		309 
4	1	303	0	7	189 464 		304 
4	1	304	0	5	303 		656 657 658 
4	1	305	0	7	60 76 		306 
4	1	306	0	5	305 		659 660 
4	1	307	0	7	656 659 		661 662 663 664 
4	1	308	0	5	661 		311 
4	1	309	0	7	302 662 		310 
4	1	310	0	5	309 		2459 
4	1	311	0	7	308 655 		312 
4	1	312	0	5	311 		2459 
4	1	313	2	1	14 		63 
4	1	314	0	7	644 663 		666 667 
4	1	318	0	7	629 666 		319 
4	1	319	0	5	318 		324 
4	1	320	0	7	638 657 		321 
4	1	321	0	5	320 		322 
4	1	322	0	7	321 660 		671 672 
4	1	323	0	5	671 		324 
4	1	324	0	7	319 323 		673 674 
4	1	325	0	5	673 		425 
4	1	330	0	5	675 		337 
4	1	331	0	7	238 466 		332 
4	1	332	0	5	331 		677 678 679 
4	1	333	0	7	61 77 		334 
4	1	334	0	5	333 		680 681 
4	1	335	0	7	677 680 		682 683 684 685 
4	1	336	0	5	682 		339 
4	1	337	0	7	330 683 		338 
4	1	338	0	5	337 		2460 
4	1	339	0	7	336 676 		340 
4	1	340	0	5	339 		2460 
4	1	341	2	1	14 		387 
4	1	342	0	7	664 684 		687 688 
4	1	349	0	7	649 687 		350 
4	1	350	0	5	349 		355 
4	1	351	0	7	658 678 		352 
4	1	352	0	5	351 		353 
4	1	353	0	7	352 681 		691 692 
4	1	354	0	5	691 		355 
4	1	355	0	7	350 354 		693 694 
4	1	358	0	5	693 		365 
4	1	359	0	7	288 468 		695 696 
4	1	360	0	5	695 		697 698 
4	1	361	0	7	62 78 		362 
4	1	362	0	5	361 		699 700 
4	1	363	0	7	697 699 		701 702 703 704 
4	1	364	0	5	701 		367 
4	1	365	0	7	358 702 		366 
4	1	366	0	5	365 		2461 
4	1	367	0	7	364 694 		368 
4	1	368	0	5	367 		2461 
4	1	369	2	1	15 		64 
4	1	370	0	7	685 703 		705 706 707 
4	1	371	0	7	667 705 		375 
4	1	375	0	7	272 371 		376 
4	1	376	0	5	375 		384 
4	1	377	0	7	672 706 		378 
4	1	378	0	5	377 		383 
4	1	379	0	7	679 698 		380 
4	1	380	0	5	379 		381 
4	1	381	0	7	380 700 		382 
4	1	382	0	5	381 		711 712 
4	1	383	0	7	378 711 		384 
4	1	384	0	7	376 383 		713 714 
